location_id;location_name;demand_charge;suggested_kwp;original_peak_no_pv;optimized_peak_no_pv;reduction_no_pv;savings_no_pv;original_peak_pv;optimized_peak_pv;reduction_pv;savings_pv;warning_no_pv;warning_pv;file_path
83419;"1103 Alloheim Senioren-Residenz """"Rotermundstraße"""" AP""";90.58;210;67.448;25.447.999.999.999.900;42.0;3804.36;6.179.170.125.943.740;2.079.170.125.943.740;41.0;37.137.799.999.999.900;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1103 Alloheim Senioren-Residenz __Rotermundstraße__ AP_.xlsx
83022;"1110 Alloheim Senioren-Residenz ""Dormagen""  ";176.8;250;150.4;75.4;75.0;13260.0;14.038.997.792.169.200;6.438.997.792.169.250;76.0;13.436.800.000.000.000;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1110 Alloheim Senioren-Residenz _Dormagen_  .xlsx
82865;"1115 Alloheim Senioren-Residenz ""Am Kurpark""";20.27;87;65.148;15.147.999.999.999.900;50.0;1013.5;5.814.928.723.358.920;14.149.287.233.589.200;44.0;891.88;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1115 Alloheim Senioren-Residenz _Am Kurpark_.xlsx
83177;"1120 Alloheim Senioren-Residenz ""Mainpark""";153.47;162;84.496;4.189.642.105.263.180;4.259.957.894.736.810;6.537.757.381.052.580;8.379.987.341.439.550;3.679.987.341.439.550;47.0;7213.09;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1120 Alloheim Senioren-Residenz _Mainpark_.xlsx
82924;"1140 Alloheim Sozialpsychatrisches Zentrum ""Arienheller";165.21;0;86.752;33.751.999.999.999.900;53.0;8.756.130.000.000.000;86.752;33.751.999.999.999.900;53.0;8.756.130.000.000.000;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1140 Alloheim Sozialpsychatrisches Zentrum _Arienheller.xlsx
83014;"1150 Alloheim Senioren-Residenz ""Am Entenmoos""";120.58;240;90.36;30.36;60.0;7234.8;879.353.321.060.492;25.935.332.106.049.200;62.0;7475.96;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1150 Alloheim Senioren-Residenz _Am Entenmoos_.xlsx
83029;"1160 Alloheim Senioren-Residenz ""Reichenbach"" ";179.2;300;109.7;4.996.842.105.263.140;5.973.157.894.736.850;10.703.898.947.368.400;10.352.850.118.121.700;4.152.850.118.121.770;62.0;11110.4;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1160 Alloheim Senioren-Residenz _Reichenbach_ .xlsx
82905;"1165 Alloheim Senioren-Residenz ""Süderbrarup""";212.06;270;51.824;16.823.999.999.999.900;35.0;7422.1;504.169.064.814.398;12.416.906.481.439.800;38.0;8058.28;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1165 Alloheim Senioren-Residenz _Süderbrarup_.xlsx
82861;"1173 Alloheim Senioren-Residenz ""Am Eichberg""  ";65.95;450;94.88;22.879.999.999.999.900;72.0;4.748.400.000.000.000;9.337.975.436.249.770;1.437.975.436.249.770;79.0;5210.05;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1173 Alloheim Senioren-Residenz _Am Eichberg_  .xlsx
83108;"1180 Alloheim Senioren-Residenz ""Einbeck""";213.46;320;107.336;63.336;44.0;9392.24;9.608.602.337.558.010;5.708.602.337.558.010;39.0;8324.94;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1180 Alloheim Senioren-Residenz _Einbeck_.xlsx
